ST_CASE,YEAR,FATALS,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,STATENAME,MONTHNAME,DAYNAME,DAY_WEEKNAME,HOURNAME,MINUTENAME,ROUTENAME,RUR_URBNAME,FUNC_SYSNAME,RD_OWNERNAME,NHSNAME,SP_JURNAME,HARM_EVNAME,MAN_COLLNAME,RELJCT1NAME,RELJCT2NAME,TYP_INTNAME,REL_ROADNAME,WRK_ZONENAME,LGT_CONDNAME,WEATHERNAME,SCH_BUSNAME,RAILNAME,LATITUDE,LONGITUD,COUNTYNAME,CITYNAME
80111,2021,1,0,0,2,2,0,2,2,Colorado,April,2,Friday,7:00pm-7:59pm,9,Local Street - Municipality,Urban,Major Collector,City or Municipal Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Sideswipe - Same Direction,No,Driveway Access Related,Not an Intersection,On Roadway,,Dusk,Not Reported,No,Not Applicable,40.46520833,-104.87555556,WELD (123),WINDSOR
80112,2021,1,0,0,1,1,0,7,7,Colorado,April,3,Saturday,10:00am-10:59am,0,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Embankment,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Daylight,Not Reported,No,Not Applicable,38.49567222,-105.30263889,FREMONT (43),NOT APPLICABLE
80113,2021,1,1,1,1,1,0,2,2,Colorado,April,4,Sunday,2:00am-2:59am,50,Interstate,Urban,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Yes,Through Roadway,Not an Intersection,On Roadway,,Dark - Lighted,Not Reported,No,Not Applicable,39.5646,-104.87224444,DOUGLAS (35),NOT APPLICABLE
80114,2021,2,0,0,2,2,0,4,4,Colorado,April,4,Sunday,10:00am-10:59am,30,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,No,Intersection,Four-Way Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,40.25282222,-104.09369444,MORGAN (87),NOT APPLICABLE
80115,2021,1,1,1,1,1,0,1,1,Colorado,April,4,Sunday,8:00pm-8:59pm,33,Local Street - Frontage Road,Rural,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Not Lighted,Not Reported,No,Not Applicable,40.01327222,-104.98021667,BROOMFIELD (14),BROOMFIELD
80116,2021,1,0,0,2,2,0,2,2,Colorado,April,5,Monday,5:00pm-5:59pm,25,County Road,Rural,Major Collector,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Other,No,Intersection,Four-Way Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,40.11659722,-104.71586111,WELD (123),NOT APPLICABLE
80117,2021,2,0,0,2,2,0,3,3,Colorado,April,6,Tuesday,6:00pm-6:59pm,59,State Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Non-Junction,Not an Intersection,On Roadway,,Daylight,Not Reported,No,Not Applicable,38.58600278,-104.91715833,EL PASO (41),NOT APPLICABLE
80118,2021,1,0,0,1,1,0,1,1,Colorado,April,6,Tuesday,5:00pm-5:59pm,16,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Curb,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Intersection-Related,Four-Way Intersection,On Roadside,,Daylight,Snow,No,Not Applicable,39.71098333,-104.84735278,ARAPAHOE (5),AURORA
80119,2021,1,0,0,4,4,0,4,4,Colorado,April,2,Friday,8:00pm-8:59pm,3,State Highway,Urban,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Intersection,Four-Way Intersection,On Roadway,,Dark - Lighted,Not Reported,No,Not Applicable,39.70011111,-105.08146667,JEFFERSON (59),LAKEWOOD
80120,2021,1,0,0,2,2,0,3,3,Colorado,April,7,Wednesday,10:00pm-10:59pm,14,Interstate,Rural,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Non-Junction,Not an Intersection,On Roadway,Construction,Dark - Not Lighted,Clear,No,Not Applicable,39.17176389,-104.85112778,DOUGLAS (35),NOT APPLICABLE
80121,2021,1,0,0,2,2,0,3,3,Colorado,April,8,Thursday,5:00pm-5:59pm,57,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Intersection,Four-Way Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,40.18859722,-105.08305556,BOULDER (13),LONGMONT
80122,2021,1,0,0,1,1,0,1,1,Colorado,April,14,Wednesday,1:00pm-1:59pm,53,State Highway,Urban,Principal Arterial - Other Freeways and Expressways,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Daylight,Not Reported,No,Not Applicable,39.57338056,-104.74888889,ARAPAHOE (5),NOT APPLICABLE
80123,2021,2,0,0,2,2,0,2,2,Colorado,April,10,Saturday,6:00am-6:59am,39,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,No,Non-Junction,Not an Intersection,On Roadway,,Daylight,Not Reported,No,Not Applicable,40.09972222,-105.10302778,BOULDER (13),NOT APPLICABLE
80124,2021,1,0,0,1,1,0,1,1,Colorado,April,10,Saturday,7:00pm-7:59pm,52,County Road,Rural,Major Collector,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Dusk,Not Reported,No,Not Applicable,37.31686944,-107.10790833,ARCHULETA (7),NOT APPLICABLE
80125,2021,1,0,0,1,1,0,1,1,Colorado,April,11,Sunday,10:00am-10:59am,55,State Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Daylight,Not Reported,No,Not Applicable,38.52871667,-104.96615556,FREMONT (43),NOT APPLICABLE
80126,2021,1,0,2,2,1,1,3,1,Colorado,April,10,Saturday,2:00pm-2:59pm,42,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Working Motor Vehicle,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadway,Construction,Daylight,Not Reported,No,Not Applicable,40.02296111,-105.10273333,BOULDER (13),NOT APPLICABLE
80127,2021,1,2,2,2,2,0,2,2,Colorado,April,3,Saturday,9:00pm-9:59pm,16,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Intersection,Four-Way Intersection,On Roadway,,Dark - Lighted,Clear,No,Not Applicable,39.75042222,-104.99413889,DENVER (31),DENVER
80128,2021,1,0,0,3,3,0,5,5,Colorado,April,8,Thursday,8:00am-8:59am,19,Interstate,Urban,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Concrete Traffic Barrier,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Yes,Other location within Interchange Area,Not an Intersection,On Median,,Daylight,Clear,No,Not Applicable,39.57916667,-104.87586667,ARAPAHOE (5),CENTENNIAL
80129,2021,1,0,0,5,5,0,5,5,Colorado,April,12,Monday,5:00pm-5:59pm,9,Interstate,Rural,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Sideswipe - Opposite Direction,No,Non-Junction,Not an Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,39.63549722,-107.09698333,EAGLE (37),NOT APPLICABLE
80130,2021,1,1,1,1,1,0,2,2,Colorado,April,12,Monday,7:00am-7:59am,30,Local Street - Municipality,Urban,Local,City or Municipal Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Utility Pole/Light Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Intersection-Related,Four-Way Intersection,On Roadside,,Daylight,Not Reported,No,Not Applicable,39.72735,-104.97345278,DENVER (31),DENVER
80131,2021,1,0,0,1,1,0,4,4,Colorado,April,14,Wednesday,9:00am-9:59am,35,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Daylight,Not Reported,No,Not Applicable,37.74109167,-108.87293611,DOLORES (33),NOT APPLICABLE
80132,2021,1,0,0,2,2,0,4,4,Colorado,April,14,Wednesday,8:00pm-8:59pm,0,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Not Lighted,Cloudy,No,Not Applicable,38.98056389,-104.54414444,EL PASO (41),NOT APPLICABLE
80133,2021,1,0,0,2,2,0,2,2,Colorado,April,16,Friday,7:00am-7:59am,19,County Road,Urban,Major Collector,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Non-Junction,Not an Intersection,On Roadway,,Daylight,Snow,No,Not Applicable,39.45847222,-104.6855,DOUGLAS (35),NOT APPLICABLE
80134,2021,1,0,0,1,1,0,2,2,Colorado,April,15,Thursday,6:00pm-6:59pm,24,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Bridge Rail (Includes parapet),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Daylight,Snow,No,Not Applicable,39.02630556,-104.45719444,EL PASO (41),NOT APPLICABLE
80135,2021,1,0,0,1,1,0,1,1,Colorado,April,16,Friday,7:00pm-7:59pm,0,State Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Dusk,Not Reported,No,Not Applicable,39.98851111,-102.70962778,YUMA (125),NOT APPLICABLE
80136,2021,1,0,0,1,1,0,1,1,Colorado,April,18,Sunday,8:00am-8:59am,47,County Road,Rural,Local,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Embankment,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Dark - Not Lighted,Not Reported,No,Not Applicable,37.96768889,-103.60920556,OTERO (89),NOT APPLICABLE
80137,2021,1,0,0,1,1,0,2,2,Colorado,April,18,Sunday,1:00pm-1:59pm,5,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Daylight,Clear,No,Not Applicable,38.35138889,-104.7,PUEBLO (101),PUEBLO WEST
80138,2021,1,1,1,1,1,0,1,1,Colorado,April,17,Saturday,0:00am-0:59am,30,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Not Lighted,Not Reported,No,Not Applicable,39.53638889,-104.87475278,DOUGLAS (35),LONE TREE
80139,2021,1,0,0,1,1,0,2,2,Colorado,April,11,Sunday,10:00pm-10:59pm,43,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Curb,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Dark - Lighted,Not Reported,No,Not Applicable,39.75263333,-105.007925,DENVER (31),DENVER
80140,2021,1,0,0,2,2,0,3,3,Colorado,April,22,Thursday,3:00pm-3:59pm,36,Interstate,Rural,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,Yes,Through Roadway,Not an Intersection,On Roadway,,Daylight,Not Reported,No,Not Applicable,39.73769444,-104.40847222,ARAPAHOE (5),NOT APPLICABLE
80141,2021,1,0,0,2,2,0,2,2,Colorado,April,24,Saturday,0:00am-0:59am,48,Interstate,Rural,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Not Lighted,Not Reported,No,Not Applicable,39.68790556,-106.66206667,EAGLE (37),NOT APPLICABLE
80142,2021,1,0,0,1,1,0,1,1,Colorado,April,24,Saturday,2:00pm-2:59pm,42,State Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Daylight,Cloudy,No,Not Applicable,38.84483333,-108.56922778,MESA (77),NOT APPLICABLE
80143,2021,1,0,0,2,2,0,3,3,Colorado,April,16,Friday,9:00am-9:59am,43,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Intersection,Four-Way Intersection,On Roadway,,Daylight,Not Reported,No,Not Applicable,38.81616667,-104.72963889,EL PASO (41),COLORADO SPRINGS
80144,2021,1,1,1,1,1,0,1,1,Colorado,April,23,Friday,8:00pm-8:59pm,56,U.S. Highway,Urban,Principal Arterial - Other Freeways and Expressways,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Not Lighted,Not Reported,No,Not Applicable,38.44696944,-105.19728611,FREMONT (43),CANON CITY
80145,2021,1,0,0,1,1,0,2,2,Colorado,April,27,Tuesday,5:00am-5:59am,53,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Dark - Not Lighted,Not Reported,No,Not Applicable,39.04230556,-104.27263889,EL PASO (41),NOT APPLICABLE
80146,2021,1,0,0,2,2,0,3,3,Colorado,April,27,Tuesday,7:00pm-7:59pm,50,Interstate,Rural,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Not Lighted,Rain,No,Not Applicable,39.55654167,-107.56434167,GARFIELD (45),NOT APPLICABLE
80147,2021,1,0,0,2,2,0,2,2,Colorado,April,21,Wednesday,3:00pm-3:59pm,17,County Road,Urban,Minor Arterial,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Intersection,Four-Way Intersection,On Roadway,,Daylight,Not Reported,No,Not Applicable,39.6712,-104.90350556,ARAPAHOE (5),NOT APPLICABLE
80148,2021,1,1,1,1,1,0,1,1,Colorado,April,19,Monday,11:00am-11:59am,32,Interstate,Urban,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadway,,Daylight,Not Reported,No,Not Applicable,38.88182222,-104.8361,EL PASO (41),COLORADO SPRINGS
80149,2021,1,0,0,2,2,0,2,2,Colorado,April,2,Friday,11:00am-11:59am,0,State Highway,Urban,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Intersection,Four-Way Intersection,On Roadway,,Daylight,Not Reported,No,Not Applicable,38.89369444,-104.7201,EL PASO (41),COLORADO SPRINGS
80150,2021,1,0,0,3,3,0,3,3,Colorado,April,9,Friday,8:00pm-8:59pm,23,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Intersection,Four-Way Intersection,On Roadway,,Dark - Lighted,Not Reported,No,Not Applicable,38.85452222,-104.75641667,EL PASO (41),COLORADO SPRINGS
80151,2021,1,0,0,2,2,0,5,5,Colorado,April,24,Saturday,9:00pm-9:59pm,39,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Intersection,Four-Way Intersection,On Roadway,,Dark - Lighted,Not Reported,No,Not Applicable,38.87961111,-104.75716111,EL PASO (41),COLORADO SPRINGS
80152,2021,1,0,0,1,1,0,1,1,Colorado,April,24,Saturday,3:00am-3:59am,5,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Dark - Lighted,Not Reported,No,Not Applicable,39.75479722,-105.04590278,DENVER (31),DENVER
80153,2021,1,0,0,1,1,0,1,1,Colorado,April,1,Thursday,2:00am-2:59am,26,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Curb,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Intersection-Related,Four-Way Intersection,On Roadside,,Dark - Lighted,Clear,No,Not Applicable,39.75906111,-104.99375,DENVER (31),DENVER
80154,2021,2,3,3,1,1,0,2,2,Colorado,April,17,Saturday,9:00pm-9:59pm,12,State Highway,Urban,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Intersection-Related,Four-Way Intersection,On Roadway,,Dark - Lighted,Not Reported,No,Not Applicable,38.7193,-104.70123611,EL PASO (41),FOUNTAIN
80155,2021,1,0,0,2,2,0,2,2,Colorado,April,19,Monday,3:00pm-3:59pm,55,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,No,Intersection-Related,Four-Way Intersection,On Roadway,,Daylight,Not Reported,No,Not Applicable,38.86962222,-104.75721111,EL PASO (41),COLORADO SPRINGS
80156,2021,1,0,0,2,2,0,3,3,Colorado,April,25,Sunday,8:00pm-8:59pm,28,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Intersection,Four-Way Intersection,On Roadway,,Dark - Lighted,Clear,No,Not Applicable,40.56745278,-105.11503889,LARIMER (69),FORT COLLINS
80157,2021,1,0,0,1,1,0,2,2,Colorado,April,1,Thursday,5:00pm-5:59pm,47,Interstate,Urban,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Guardrail Face,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Yes,Entrance/Exit Ramp Related,Not an Intersection,On Roadside,,Daylight,Clear,No,Not Applicable,38.28756944,-104.60575,PUEBLO (101),PUEBLO
80158,2021,1,0,0,1,1,0,1,1,Colorado,April,5,Monday,8:00pm-8:59pm,12,Local Street - Municipality,Urban,Major Collector,City or Municipal Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Mail Box,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Dark - Not Lighted,Clear,No,Not Applicable,40.29813889,-105.07430556,LARIMER (69),BERTHOUD
80159,2021,1,1,1,1,1,0,1,1,Colorado,April,25,Sunday,1:00am-1:59am,46,Interstate,Urban,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Not Lighted,Clear,No,Not Applicable,39.59833333,-104.88716111,ARAPAHOE (5),GREENWOOD VILLAGE
80160,2021,1,0,0,1,1,0,1,1,Colorado,April,27,Tuesday,8:00am-8:59am,50,Local Street - Township,Rural,Major Collector,Town or Township Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Daylight,Rain,No,Not Applicable,40.53866667,-104.85098889,WELD (123),SEVERANCE
80161,2021,1,0,0,9,4,5,5,5,Colorado,April,10,Saturday,11:00am-11:59am,52,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Intersection,Four-Way Intersection,On Roadway,,Daylight,Not Reported,No,Not Applicable,39.76212222,-105.03458889,DENVER (31),DENVER
80162,2021,1,0,0,1,1,0,2,2,Colorado,April,18,Sunday,2:00am-2:59am,30,U.S. Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Guardrail Face,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Dark - Not Lighted,Not Reported,No,Not Applicable,39.74362222,-105.27266389,JEFFERSON (59),NOT APPLICABLE
80163,2021,1,0,0,1,1,0,1,1,Colorado,May,1,Saturday,2:00am-2:59am,40,Interstate,Urban,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Dark - Not Lighted,Clear,No,Not Applicable,39.74538889,-104.74150833,ADAMS (1),AURORA
80164,2021,1,0,0,1,1,0,1,1,Colorado,May,1,Saturday,2:00am-2:59am,56,Local Street - Municipality,Urban,Local,City or Municipal Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Curb,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Dark - Lighted,Clear,No,Not Applicable,39.75154167,-104.83194444,ADAMS (1),AURORA
80165,2021,2,0,0,2,2,0,4,4,Colorado,May,1,Saturday,5:00pm-5:59pm,20,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Sideswipe - Opposite Direction,No,Intersection,T-Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,38.24518889,-104.45316111,PUEBLO (101),NOT APPLICABLE
80166,2021,1,0,0,1,1,0,1,1,Colorado,May,3,Monday,12:00pm-12:59pm,54,County Road,Rural,Major Collector,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Wall,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Intersection-Related,Four-Way Intersection,On Roadside,,Daylight,Rain,No,Not Applicable,40.11612778,-105.20681111,BOULDER (13),NOT APPLICABLE
80167,2021,1,0,0,3,3,0,4,4,Colorado,May,5,Wednesday,2:00pm-2:59pm,15,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,No,Intersection-Related,T-Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,39.09177222,-108.49625556,MESA (77),GRAND JUNCTION
80168,2021,1,0,0,1,1,0,1,1,Colorado,May,6,Thursday,12:00pm-12:59pm,30,County Road,Rural,Local,County Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Daylight,Not Reported,No,Not Applicable,38.85642778,-107.58031111,DELTA (29),NOT APPLICABLE
80169,2021,1,1,1,1,1,0,1,1,Colorado,May,21,Friday,9:00pm-9:59pm,1,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadway,,Dark - Lighted,Clear,No,Not Applicable,39.80327778,-105.02518056,ADAMS (1),NOT APPLICABLE
80170,2021,1,0,0,2,2,0,2,2,Colorado,May,6,Thursday,3:00pm-3:59pm,30,U.S. Highway,Rural,Minor Arterial,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,No,Non-Junction,Not an Intersection,On Roadway,,Daylight,Not Reported,No,Not Applicable,39.742425,-105.29291944,JEFFERSON (59),NOT APPLICABLE
80171,2021,1,0,0,1,1,0,1,1,Colorado,May,6,Thursday,8:00pm-8:59pm,52,Interstate,Urban,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Median,,Dark - Not Lighted,Not Reported,No,Not Applicable,39.10796389,-108.42906667,MESA (77),NOT APPLICABLE
80172,2021,1,0,0,2,2,0,2,2,Colorado,May,7,Friday,6:00am-6:59am,1,Interstate,Urban,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Concrete Traffic Barrier,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Median,,Dawn,Clear,No,Not Applicable,39.78368333,-105.04451667,DENVER (31),DENVER
80173,2021,1,0,0,2,2,0,2,2,Colorado,May,7,Friday,2:00pm-2:59pm,1,U.S. Highway,Rural,Major Collector,State Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Sideswipe - Same Direction,No,Non-Junction,Not an Intersection,On Roadway,,Daylight,Not Reported,No,Not Applicable,40.44952222,-103.37866944,LOGAN (75),NOT APPLICABLE
80174,2021,1,0,0,1,1,0,3,3,Colorado,May,7,Friday,10:00pm-10:59pm,15,Interstate,Urban,Interstate,State Highway Agency,This section IS ON the NHS,No Special Jurisdiction,Guardrail End,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,No,Non-Junction,Not an Intersection,On Roadside,,Dark - Not Lighted,Clear,No,Not Applicable,39.78719722,-104.903875,ADAMS (1),COMMERCE CITY
80175,2021,1,0,0,2,2,0,3,3,Colorado,May,6,Thursday,1:00pm-1:59pm,15,Local Street - Municipality,Urban,Major Collector,City or Municipal Highway Agency,This section IS NOT on the NHS,No Special Jurisdiction,Motor Vehicle In-Transport,Angle,No,Non-Junction,Not an Intersection,On Roadway,,Daylight,Clear,No,Not Applicable,39.66738889,-104.77966667,ARAPAHOE (5),AURORA
